nom,departement,numero_dep,categorie,resume,histoire,latitude,longitude,adresse,baignade,toilettes,restaurant,photo
La légende du Lutin Nicole,Côte d’Armor & Ille-et-Villaine,2235,Histoires Maritimes,Un affreux lutin qui sème la terreur autour de lui...,"L’océan est souvent la demeure idéale pour bon nombre de monstres cruels et perfides. Mais le plus fourbe d’entre eux est sans aucun doute ce fichu petit lutin Nicole. Son domaine s’étendait de la baie de St Malo à St Brieuc. Son nom faisait référence à un marin-pêcheur acariâtre et sévère dont certains prétendaient que l’âme était passée dans le corps du marsouin. Redouté par les marins pêcheurs, l’affreuse créature Nicole déchirait les mailles des filets, emmêlait les amarres des bateaux où les déplaçait pendant la nuit. Il était tellement fourbe que les matelots en étaient venus à supplier le recteur Saint-Cast de l’exorciser. Muni de son eau bénite, le recteur s’en alla trouver Nicole, accompagné de deux pêcheurs. Saint-Cast parvint à attraper l’une de ses nageoires et en profita pour l’asperger d’eau bénite. Pris au piège, le lutin demanda grâce. Plus tard, il remit aux hommes un parchemin sur lequel il s’engageait à les laisser en paix, et on ne le revit plus jamais, le scélérat !",48.55982688699681,-2.7406033170489126,St Brieuc,FALSE,FALSE,FALSE,https://www.bretagne.com/sites/default/files/post/30744-une-Saint-Brieuc-baie.jpg
Gargantua,Côte d’Armor & Ille-et-Villaine,2235,Histoires Maritimes,L'histoire de la traversée d'un géant...,"
Gargantua, ça te dit quelque chose ? Ce bougre géant possède une sacré histoire !

Tout commence par une requête d’Arthur à Merlin. Le roi avait besoin d’une arme puissante qui l’aiderait à vaincre ses ennemis. Le magicien s’est alors rendu en orient pour faire naître, des cadavres de deux baleines, Grantgosier et Gallemelle, deux géants qui donneront naissance à Gargantua. Les géants traversèrent ensuite l’Europe pour rejoindre l’Angleterre. Arrivés devant la Manche, les deux géants déposèrent un caillou chacun, créant le Mont-Saint-Michel et l’Îlot de Tombelaine. L’un des périples du géant Gargantua le mena à Cancale, où il jeta les cailloux de sa chaussure que l’on appelle aujourd’hui les rochers de Cancale. Selon la légende, le Mont Dol et le Rocher de Bizeux sont également des cailloux de ses chaussures. Lorsqu’il atteignit Saint Malo, Gargantua fut pris d’une violente indigestion après avoir avalé 790 bœufs, le bougre ! Qui dévore 790 oeufs de nos jours ? Il régurgita son repas, et ainsi naquirent le Petit et le Grand Bé. L’île d’Agot, près de Saint Briac, est née de la même façon.
",48.651987937284986,-2.0231830998678864,St Malo,FALSE,FALSE,FALSE,https://www.tourismebretagne.com/app/uploads/crt-bretagne/2018/11/saint-malo-antoine2k-fotolia-5-1920x960-crop-1543920634.jpg
Gargantua,Côte d’Armor & Ille-et-Villaine,2235,Créatures Fantastiques,L'histoire de la traversée d'un géant...,"
Fée Armelle : “Si un jour votre périple vous mène à St Malo ou à St Brieuc, alors écoutez bien cette histoire, car peut-être marcherez-vous dans les pas de géant de Gargantua.

Gargantua est né de Grantgosier et Gallemelle, deux géants qui naquirent de la main enchanteresse de Merlin et de cadavres de baleines. La naissance de Gargantua n’avait que pour unique but d’aider le roi Arthur à vaincre ses ennemis. Ainsi, le géant traversa plusieurs fois l’Europe pour aider son roi. L’un de ses périples le mena à Cancale où il jeta les cailloux de sa chaussure que l’on appelle aujourd’hui les rochers de Cancale. Selon la légende, le Mont Dol et le Rocher de Bizeux sont également les pierres de ses souliers. Lorsqu’il atteint Saint Malo, Gargantua fut pris d’une indigestion après avoir avalé 790 bœufs. Il régurgita son repas, et ainsi naquirent le Petit et le Grand Bé. L’île d’Agot, près de Saint Briac, vit le jour de la même façon.”
",48.63288810497135,-2.1388210707121558,Saint Briac,FALSE,FALSE,FALSE,https://upload.wikimedia.org/wikipedia/commons/e/e3/Saint-Briac-sur-Mer-plaisance-by-Rundvald.JPG
L'ile aux moines,Morbihan,56,Croyances Religion,Un amour impossible...,"Connaissez-vous la légende de l’Ile d’Arz mon enfant ? Elle raconte une histoire qui s’est passée jadis, l’histoire cruelle d’un amour impossible entre un marin de l’Île au Moines et une jeune fille de l’Île d’Arz. À l’époque, un sentier reliait les deux îles à marée basse, c'est-à-dire à peu près toutes les six heures. La jeune femme traversait ce chemin toutes les nuits pour retrouver l’élu de son coeur. Cependant, un matin, elle fut reconnue par un villageois de l’Île aux Moines qui s’empressa d’aller informer les parents du jeune homme. Suite à cela, le marin fut conduit dans un monastère. Le coeur brisé, la jeune femme continua néanmoins de se rendre tous les jours sous la fenêtre de son amant. Le gardien des lieux, exaspéré, finit par faire appel aux Korrigans qui inondèrent le sentier, noyant la jeune femme, et séparant les deux îles à tout jamais.",47.59750000,-2.84333333,56780 Île-aux-Moines,TRUE,TRUE,TRUE,https://www.iles-du-ponant.com/wp-content/uploads/moine/Ile-aux-moines-3-2000x850.jpg
L'ile aux moines,Morbihan,56,Histoires Maritimes,Un amour impossible...,"Prépare-toi à pleurer matelot, car cette légende raconte l’histoire d’un amour impossible entre un jeune marin de l’Île au Moines et une jolie mam’zelle de l’Île d’Arz. Il y a très longtemps, un sentier reliait les deux îles à marée basse, c'est-à-dire à peu près toutes les six heures. La jeune fillette traversait ce chemin toutes les nuits pour retrouver celui qu’elle aimait. Mais un matin, elle fut reconnue par un villageois de l’Île aux Moines qui s’empressa d’aller informer les parents du jeune matelot. Non d’une pipe ! Le marin fut ensuite conduit dans un monastère. Le cœur brisé, la fillette continua néanmoins de se rendre tous les jours sous la fenêtre de son amant. Le gardien des lieux finit par faire appel aux Korrigans, ces horribles petits monstres, pour innonder le sentier, noyant la jeune femme, et séparant les deux îles pour toujours.",47.59750000,-2.84333333,56780 Île-aux-Moines,TRUE,TRUE,TRUE,https://www.iles-du-ponant.com/wp-content/uploads/moine/Ile-aux-moines-3-2000x850.jpg
La légende de l'ile d'Houat,Morbihan,56,Créatures Fantastiques,Houat, entre légende et histoire vraie...,"« Ce petit peuple, autonome et joyeux, ne vit que par la pêche et l'agriculture. Les maisons n'ont pas de serrure aux portes, et les anciens sont les gardiens des règles. Ce peuple ne se déplace sur la Grande Terre qu'en été, pour vendre la pêche et s'y fournir de quelques provisions indispensables pour passer le rude hiver. Lorsque d'aventure, un étranger désireux de découvrir cet havre de paix, pose le pied sur l'île, déposé par un bateau venant de Saint-Gildas ou de Quiberon, le premier habitant le croisant, l'invite chez lui, lui offre gîte et couvert pour un jour, et le confie à son voisin qui prend le relais...et ainsi de suite tant que l'étranger souhaite rester sur l'île. » Brocéliande. Isolés du continent, ses habitants vivaient en harmonie avec le ciel et la mer. ",47.391609919439155,-2.966795321452023,"Île-d'Houat, 56170",TRUE,TRUE,TRUE,https://popknel.files.wordpress.com/2019/10/weekend-houat-10.jpg?w=2000&h=1200&crop=1
La légende de l'ile d'Houat,Morbihan,56,Histoires Maritimes,Houat, entre légende et histoire vraie...,"Levez l'encre, et venez découvrir la légende d'Houat, une île qui serait née d'une couronne de fleur jetée à la mer par les fées de Brocéliande. Isolés du continent, ses habitants vivaient
en harmonie avec le ciel et la mer.

« ​Ce petit peuple, autonome et joyeux, ne vit que par la pêche et l'agriculture. Les maisons n'ont pas de serrure aux portes, et les anciens sont les gardiens des règles. Ce peuple ne se déplace sur la Grande Terre qu'en été, pour vendre la pêche et s'y fournir de quelques provisions indispensables pour passer le rude hiver. Lorsque d'aventure, un étranger désireux de découvrir cet havre de paix, pose le pied sur l'île, déposé par un bateau venant de Saint-Gildas ou de Quiberon, le premier habitant le croisant, l'invite chez lui, lui offre gîte et couvert pour un jour, et le confie à son voisin qui prend le relais...et ainsi de suite tant que l'étranger souhaite rester sur l'île. »

Houat serait née d’une couronne de fleur jetée à la mer par les fées de Brocéliande. Isolés du continent, ses habitants vivaient en harmonie avec le ciel et la mer.",47.391609919439155,-2.966795321452023,"Île-d'Houat, 56170",TRUE,TRUE,TRUE,https://popknel.files.wordpress.com/2019/10/weekend-houat-10.jpg?w=2000&h=1200&crop=1
Les alignements de Carnac,Morbihan,56,Croyances Religion,La légende de St Cornély...,"Mon cher confrère Saint Cornély était pape à Rome. La légende raconte qu’après s’être fait persécuté par un empereur, il quitta la ville avec deux bœufs qui lui servaient de monture. Il fut poursuivi par des soldats romains à travers toute la Gaule. Lorsqu’il atteignit la région de Carnac, il s’arrêta au village de Moustoir pour reprendre des forces. Il reprit son périple quelques jours plus tard, après avoir entendu une jeune fille blasphémer et insulter sa propre mère ! Il parvint au sommet d’une colline, où il fut encerclé par ses poursuivants. Il leva alors la main vers le ciel et transforma les soldats en pierre. À cet endroit s’élève aujourd’hui une église sainte construite en son honneur et l’on nomma ces longues rangées de menhirs ‘Soudarded Sant Kornely’ (soldats de Saint Cornély) dont, dit-on, “les jours de tempête, leurs âmes viennent encore roder”.",47.593301745582416,-3.0825425,"LIeu-dit le Ménec, 56340 Carnac",FALSE,TRUE,TRUE,https://www.lepelerin.com/wp-content/uploads/2019/02/A-Carnac-nom-d-un-menhir-e1558610666135.jpg
l'île du Golfe,Morbihan,56,Créatures Fantastiques,On dit que ce sont des petites fées qui sont à l’origine des îles du Golfe...,"Fée Armelle : “Laissez-moi, cher voyageur, vous conter l’une de mes histoires… Si vous vous aventurez dans les contrées du Morbihan, alors sachez ceci... : il y a fort longtemps, mes sœurs et moi vivions en paix dans la forêt de Brocéliande. Un jour, sans que l’on ne sache pourquoi, les Korrigans nous en chassèrent. Dévastées, nos larmes formèrent une marée, que l’on nomme aujourd’hui le Golfe. Nous jetâmes nos couronnes de fleurs pour créer les 365 îles du Golfe. Trois de ces couronnes furent emportées par le vent jusqu’à l’océan, donnant naissance aux îles d’Houat, Hoëdic et Belle-île. Encore aujourd’hui, il n’est pas rare, cher voyageur, d’apercevoir quelques fleurs de genêts, flotter au gré des courants.”",47.56820889537029,-2.769526519302257,Golfe du Morbihan,TRUE,TRUE,TRUE,https://mersetbateaux.com/wp-content/uploads/2019/02/baie-de-Quiberon.jpg
l'île du Golfe,Morbihan,56,Histoires Maritimes,On dit que ce sont des petites fées qui sont à l’origine des îles du Golfe...,"Les fées ont beau être jolies, qu’est-ce qu’elles peuvent être agaçantes ! On dit que ce sont ces petites bestioles qui sont à l’origine des îles du Golfe. La légende raconte que des Korrigans, ces affreux lutins, auraient chassé les fées de la forêt de Brocéliande. Les fées versèrent tant de larmes de crocodile qu’elles en formèrent toute une marée : il s’agit aujourd’hui du Golfe. Elles y jetèrent leurs couronnes de fleurs qui donnèrent les 365 îles du Golfe. Trois couronnes, emportées par le vent, dévièrent jusqu’à l’océan, créant ainsi les îles de Houat, Hoëdic et Belle-Île. Encore aujourd’hui, si vous vous promenez le long du littoral du Golfe, vous pourrez peut-être apercevoir flotter au gré des courants, une ou deux fleurs de genêts.",47.56820889537029,-2.769526519302257,Golfe du Morbihan,TRUE,TRUE,TRUE,https://mersetbateaux.com/wp-content/uploads/2019/02/baie-de-Quiberon.jpg
la légende des korrigans,Morbihan,56,Créatures Fantastiques,Des petites créatures bien perfides...,"Avez-vous déjà rencontré ces créatures appelées les Korrigans ? Cette légende raconte que de petits lutins, aussi nommés les “Kérions”, ont établi domicile dans les menhirs ou les dolmens longeant les côtes de Carnac. Ces petits êtres farceurs auraient remué toutes les pierres pour former les célèbres alignements.",47.59450638437026,-3.0825334861674043,Carnac,FALSE,FALSE,FALSE,https://www.carnac.fr/var/ayaline/storage/images/media/diaporamas/diaporama-sur-la-page-d-accueil/vue-aerienne-plage/53922-1-fre-FR/Vue-aerienne-plage_diaporama_image_home_filter.jpg
